item_id,subcategoryID,details,,
item_001,sub_001,1. Stand up straight while holding a dumbbell in your both hands (palms facing the torso). Your feet should be shoulder width apart. This will be your starting position.,,
item_002,sub_001,2. Keep your back straight and your head up. As you inhale bend only at the waist to the side as far as possible.,
item_003,sub_001,3. Focus on stretching your obliques to the lowest position. Hold this position for a second and then go back to the starting position as you exhale.,,
item_004,sub_001,"4. While inhaling, repeat this movement but bending to the other side. Hold the position for a second and then return back to the starting position as you exhale.",,
item_005,sub_001,5. Repeat this movement for the desired amount of repetitions.,,
item_006,sub_001,Tips :,,
item_007,sub_001,1. Keep your body straight throughout the movement. Do not lean forward or backward.,,
item_008,sub_001,2. Do not swing the dumbbell away from your thigh.,,
item_009,sub_001,3. Do not move your hips or legs.,,
item_010,sub_001,Muscles Targeted :,,
item_011,sub_001,"1. Oblique Muscles
",,
item_012,sub_002,1. Lie Down on a flat bench with your back and extend your legs in front of you off the end.,,
item_013,sub_002,2. Place your hands under your glutes with your palms facing down. You can also hold on to the sides of the bench. This will be your starting position.,,
item_014,sub_002,3. Raise your legs until you make a 90-degrees angle with the floor and keep your extended legs as straight as possible.,,
item_015,sub_002,4. Exhale as you raise your legs up. Hold this position for a second and then slowly lower down your legs as you inhale to the starting position.,,
item_016,sub_002,5. Repeat this exercise for two to three sets of 10 reps each.,,
item_017,sub_002,Muscles Targeted :,,
item_018,sub_002, 1. Rectus Abdominis or Abdominal Muscles,,
item_019,sub_002,"2. Internal Obliques
",,
item_020,sub_003,1. Grab a chin-up bar with your hands slightly wider than shoulder width, Keep your arms completely straight and your feet are off the ground with the pelvis rolled slightly backwards. This will be your starting position.,
item_021,sub_003,"2. As you exhale bend your knees and raise your legs until your thighs are parallel to the floor. Hold this position for a second.",,
item_022,sub_003,"3. While inhaling, lower down your legs slowly to the starting position.",,
item_023,sub_003,4. Repeat this movement for the desired amount of repititions.,,
item_024,sub_003,Tips :,,
item_025,sub_003,* Perform this exercise slowly as it takes some to getting used to.,,
item_026,sub_003,* Do not try to use weights for the first time. You'll have enough in your hands for balancing your body weight.,,
item_027,sub_003,* Avoid swinging your torso.,,
item_028,sub_003,Muscles Targeted :,,
item_029,sub_003,"1. Rectus Abdominis",,
item_030,sub_003,"2. Oblique Muscles",,
item_031,sub_003,"3. Adductors
",,
item_032,sub_004,1. Lie down on a decline bench and lock your legs at the end of the decline bench.,,
item_033,sub_004,2. Place your hands across the chest. For more advanced technique, place your hands behind your head with the finger Tips slightly touching each other.,
item_034,sub_004,3. Raise your body slowly while you contract your abs.,,
item_035,sub_004,"4. While crunching up, Bring your elbows to either side of thighs.",,
item_036,sub_004,"5. Hold this position at the top, flex your abs for a second and then slowly lower down your body to the starting position.",,
item_037,sub_004,6. Exhale as you go up and inhale as you go down.,,
item_038,sub_004,7. Repeat this exercise for two to three sets of 10 reps each.,,
item_039,sub_004,"8. For more intensity, hold a weight plate across your chest for added resistance.",,
item_040,sub_004,Tips :,,
item_041,sub_004,"Make sure there to keep at least an inch or two of space between your back and the bench at the bottom of the movement.
",,
item_042,sub_005,1. Lie Down on a floor with your back and extend your legs in front of you off the end.,,
item_043,sub_005,2. Place your hands under your glutes with your palms facing down. You can also hold on to the sides of the bench. This will be your starting position.,,
item_044,sub_005,3. Raise your legs until you make a 90-degrees angle with the floor and keep your extended legs as straight as possible.,,
item_045,sub_005,4. Exhale as you raise your legs up. Hold this position for a second and then slowly lower down your legs as you inhale to the starting position.,,
